Feature,Importance
V8,0.04541930095756186
V27,0.017272718467346238
V21,0.0124496582743987
V7,0.009033502353251066
V1,0.00670375562690495
V14,0.006667203339969063
V17,0.005906713294329791
V23,0.004525976866105452
V25,0.0039492690970490685
V18,0.0037283775389020946
V11,0.003696317258508941
V3,0.0027733237079132778
V12,0.002718660024910946
V16,0.0015628353121712735
V9,0.0012988770526156657
V6,0.0009233481914243669
V24,0.0008447333215357844
V10,0.0007058332747789109
V15,0.0006206219903113208
Amount,0.000548715264276467
V28,0.0005357422483314167
V13,0.000506271561981464
V19,0.0003619199031277276
V22,-0.00011221557224416756
V5,-0.00011863449417504057
V26,-0.00027114600430877545
V20,-0.0007061577823641585
V4,-0.0020059904388709526
V2,-0.0020206614421311997
