Feature,Importance
V17,133.25233778102105
V14,73.37738663319674
V12,64.63468092797845
V7,57.62680110166923
V10,50.592050908101896
V3,48.07255571943167
V16,43.274629712475196
V8,32.97533205651134
V21,27.601053619603405
V5,21.69121082864375
V18,19.494976306101623
V1,19.488454266036193
V11,15.452882292590616
V27,12.121311601954188
V9,11.280824245622323
V4,9.73507569923444
V23,8.647954576148367
V2,8.45533859700281
V22,4.22587851292236
V20,3.3815706153766403
V19,3.268111199737231
V6,3.2464580536862004
V28,3.1158769122901564
V25,2.7164765180666413
V13,1.3510878994574451
V15,1.3363056348202447
Amount,1.0526505546439042
V26,0.8398960686748637
V24,0.788715927406431
