Feature,Importance
V11,0.02429306752875049
V1,0.024028629821464143
V26,0.0229265558819316
V4,0.02135014115901923
V9,0.02017084472714037
V2,0.017718436768032975
V18,0.01687361137016108
V14,0.01579308351474329
V22,0.013419274428792538
V7,0.012948550222682598
V3,0.012526819940041123
V12,0.012296105184144923
V13,0.0112226035595967
V19,0.010827492732904842
V5,0.009422245027574272
V6,0.009356424839479405
V16,0.008620618877792419
V25,0.008394359141742025
V17,0.007990462678993282
Amount,0.007631629073478474
V15,0.007337101315862182
V8,0.006023379000470008
V21,0.004963503846968864
V24,0.004102726184912253
V20,0.0029542110574486413
V10,0.0022358542528553293
V28,0.0020892567315248245
V23,0.0020116740414013456
V27,0.0015548358681214403
