Feature,Importance
V28,0.9444895517853632
V23,0.9266731038428517
V27,0.9050190309918609
V15,0.8801041986393527
V8,0.8677887173690659
V20,0.8599051562857108
V13,0.8560001905237723
V21,0.8397327401700226
V25,0.815291443349518
V19,0.8109903376612128
V24,0.8062486431196471
V9,0.8040779063065978
V5,0.7909123734920429
V2,0.7859556482171282
Amount,0.7774369610080872
V22,0.7758212176684104
V10,0.7719184895680411
V7,0.7462838455383349
V6,0.731031568445385
V12,0.713684991938352
V18,0.7121675789323517
V11,0.7031902017117467
V1,0.6992899542994322
V4,0.6974920328082133
V14,0.6869377146625754
V26,0.6766109552195143
V16,0.6761564170378718
V3,0.673236447908671
V17,0.6344505123344539
