Feature,Importance
V1,0.028581182340570166
V17,0.02029888155323789
V5,0.014287320355066413
V4,0.010962567127911882
V6,0.004192051277936315
V22,0.004097427354501804
V27,0.0026957589870626464
V16,0.002456649495272245
V28,0.0022320384474276977
V25,0.0021595189474901133
V15,0.002120990264895539
V9,0.0014751629524738519
V13,0.0008913927698799284
V19,0.0007093050093480713
Amount,-0.0003265860499013229
V26,-0.0003972727224450523
V21,-0.0004466895658445935
V24,-0.0005369870775098207
V20,-0.0006219400020910371
V7,-0.003272680298373132
V10,-0.003504044356500202
V12,-0.004351896917416553
V8,-0.004563123463260155
V18,-0.004903470170539492
V11,-0.005190378204837032
V23,-0.005191755066697112
V14,-0.005782536235475533
V2,-0.005833134466232792
V3,-0.007745341520980276
