Feature,Importance
V1,0.028244480294613905
V11,0.02750048271941352
V22,0.025527389507587928
V15,0.021306054930718132
V26,0.018925164159276142
V6,0.014538475614728541
V7,0.013937660069259117
V14,0.013619378659646908
V3,0.013575130091020182
V16,0.013299039389324863
V19,0.012406978176274452
V9,0.01237995442837525
V4,0.012166208380676058
V2,0.011574540790426524
V12,0.010566821225178602
V5,0.00994815870575172
V17,0.00867963623176815
V10,0.007755121560442779
Amount,0.00753876304824419
V13,0.007488022889722168
V20,0.005205347083188205
V21,0.00513589338387177
V18,0.0037490375307083212
V25,0.0031301169936569506
V28,0.0028908695295254416
V24,0.002208769971425717
V23,0.0020699601596152473
V8,0.0013498802314226843
V27,0.0013029294771618183
