Feature,Importance
V17,0.020228772586268207
V16,0.015614633005178291
V14,0.01521481571710126
V21,0.0131273997680168
V8,0.010400667228687155
V1,0.009736194077749616
V2,0.009495613929995983
V5,0.00922768054626033
V23,0.00857880555965096
V28,0.00849678292511058
V18,0.008411016919982472
V7,0.007739284263628576
V10,0.006573263331429047
V25,0.005574215747380151
V19,0.004428058908036547
V3,0.0041827942091607895
V11,0.004024206660318441
V13,0.001678578417628529
V26,0.0015366512408760968
V15,0.0006142096057821789
V6,0.00019348090772908222
V24,-0.00017423146695350056
V22,-0.0003363122471711222
Amount,-0.0004165755904672608
V9,-0.0006028402123270382
V4,-0.0013656690061019106
V12,-0.0015366176947502197
V27,-0.0016899905239142754
V20,-0.005578429091332993
