Feature,Importance
V18,0.019690797361168633
V1,0.018910219197487033
V26,0.018202315761843058
V11,0.01791119979441891
V3,0.016903239208663767
V22,0.01618195317918958
V14,0.01615103797922457
V6,0.014519581009244997
V4,0.014186295816759231
V25,0.013469528724327495
V12,0.010785081664111629
V2,0.010378945093135972
V16,0.010332578718798335
V9,0.009835287216808153
V10,0.00886831463328519
V17,0.008383337687230208
Amount,0.007633468593150505
V19,0.007374873774941282
V13,0.006635622394842056
V24,0.005649168721989617
V21,0.0051308419407525285
V7,0.005041246080397577
V20,0.004786384832945023
V15,0.0044714158346776944
V5,0.0021827755867027676
V23,0.0020832658865447273
V8,0.0019994116043532406
V27,0.0018493683588708398
V28,0.001603668509508771
