Feature,Importance
V17,133.0469895723968
V14,73.46988974117981
V12,64.68787955903683
V7,57.73407069012648
V10,50.66991470911271
V3,48.28305137622898
V16,43.18283458488491
V8,32.82474291299436
V21,27.841578864909827
V5,21.713925340942072
V18,19.698641344343965
V1,19.684772032094976
V11,15.562532241862069
V27,11.842337245023101
V9,11.339201600224342
V4,9.790639893729976
V23,9.394401428985267
V2,8.49974051277276
V22,4.558820232174899
V28,3.784562432695106
V20,3.428469490978328
V19,3.3644904646985276
V6,3.177260945635706
V25,2.5795279823050823
V13,1.3974531093106972
V15,1.3313482900586497
Amount,1.1134284183797736
V24,0.8547448520801388
V26,0.7951886419475992
