Feature,Importance
V17,133.0791575067386
V14,73.59679421496756
V12,64.74067303588731
V7,57.547825249959004
V10,50.73698329173557
V3,48.23904277566733
V16,43.23801333562707
V8,33.219936700931406
V21,28.01414119819374
V5,21.680605675963783
V18,19.617591458931596
V1,19.46960850442852
V11,15.532417190680029
V27,11.669440507078086
V9,11.34592714118803
V4,9.903792349397591
V23,8.705182171358384
V2,8.54993768722667
V22,4.373202967467273
V19,3.6109846649921313
V28,3.5636431000775963
V25,3.443443334431568
V20,3.413925221527129
V6,3.2998151188256992
V13,1.4576373534704916
V15,1.3656058296370666
Amount,1.1509826626622524
V24,0.9315736495602952
V26,0.8214796802471104
