Feature,Importance
V28,0.9727369549457536
V23,0.9283058187385383
V27,0.9103688090830697
V25,0.8884140436162551
V24,0.8656631953892826
V8,0.8484895924135357
V20,0.8437820664086649
V21,0.8390273174862596
V2,0.8181028308194168
V13,0.8016369976421244
Amount,0.7833968733825405
V19,0.7823635685959756
V10,0.7799270865407077
V5,0.7758597721082431
V18,0.7553864000375683
V22,0.7538513649306599
V16,0.7536699980802425
V3,0.7455007822073767
V9,0.7398527691651829
V7,0.7395743872379146
V14,0.7350061374524182
V6,0.7266278561159988
V15,0.7261931641066858
V12,0.7037117132854299
V1,0.6944790292538227
V4,0.6807474371738195
V11,0.6530866951268887
V26,0.6478549611484341
V17,0.5768255903804543
