Feature,Importance
V17,133.26071087388723
V14,73.42175628503139
V12,64.65032454862829
V7,57.57109077290336
V10,50.71139493223466
V3,48.0997506372219
V16,43.21341351321951
V8,32.580010210958655
V21,27.28518336385815
V5,21.69209453076046
V18,19.632367736090494
V1,19.4274112881481
V11,15.456203291284243
V27,11.78624797304217
V9,11.472146547867812
V4,9.739828369997912
V23,8.667965753781962
V2,8.512161768978793
V19,4.553423933141516
V22,4.196935487881772
V6,3.3008194098015147
V20,3.214315390152641
V28,3.000126917079645
V25,2.640547646262888
V15,1.335767055558868
V13,1.3216399694153216
Amount,1.1135785431171583
V24,0.8088221038014543
V26,0.7850788377252943
