Feature,Importance
V16,0.007077198252712691
V19,0.006813275735460422
V8,0.006073522260187758
V7,0.0049243538184704505
V18,0.003982576419652162
V12,0.003958813620236867
V5,0.0032949413287148843
V28,0.00285488844308901
V25,0.0020576037326343055
V4,0.0014036561825143679
V17,0.0009408098825787192
V9,0.0008349706665882195
V23,0.0008069276878686082
Amount,0.0007510919599909016
V24,0.0007428837779457353
V20,0.0005096220310214505
V21,0.00041358706236138687
V15,0.0003534425944025088
V26,0.00015871510358778096
V13,-0.0002531366028648563
V1,-0.0003263038740470847
V2,-0.00035850309454943385
V10,-0.0005149445017842424
V27,-0.0007826169295981344
V3,-0.001374209898337142
V22,-0.0015080468957826554
V14,-0.0018264038907815916
V11,-0.0019419869732075767
V6,-0.0019540333808905075
