Feature,Importance
V9,0.02598253594257105
V11,0.022616445652154593
V1,0.020850559789672096
V6,0.020606873403819392
V26,0.0201585042491359
V4,0.019921465662355975
V15,0.018630451184820762
V2,0.01812855244952727
V14,0.016570285184382305
V13,0.015453229069353536
V12,0.012630304412558302
V22,0.012279287485371104
V10,0.012268012029072461
V18,0.010488633504239675
V25,0.009969607357950827
V19,0.009503766490776777
Amount,0.008774841736213346
V17,0.008371238153629279
V3,0.008110240738743335
V5,0.00730182650692468
V7,0.006317780201731238
V16,0.005971167566291458
V21,0.00413228385052522
V8,0.003808597841999939
V20,0.003668873362562053
V27,0.0024460243151848138
V28,0.0023329425052396324
V24,0.0018057989221214044
V23,0.00017007871276408792
