Feature,Importance
V17,0.04908644728442013
V8,0.022426508104782528
V7,0.020778240104629475
V27,0.012969008257449843
V23,0.01185196301125302
V10,0.009800035044960964
V12,0.007106195159273909
V5,0.005929841693586013
V28,0.0055255696468279325
V16,0.004761238025889014
V25,0.004374260165452171
V22,0.0034532122250041652
V11,0.0030157849644041335
V6,0.002295892985014092
V2,0.002043029575659716
V19,0.002002564347179714
V18,0.0012932994781884588
V24,0.0012446065879103685
V13,0.001178337075714353
V20,0.0006742983371097466
V9,0.0004236365804217712
V3,0.0003263553948578135
V14,0.00027293186721877305
V15,2.458271987748617e-05
Amount,-0.0005096035119365183
V1,-0.0009744953082240215
V4,-0.0011025024697701724
V26,-0.0014771173545717886
V21,-0.00687335542595946
