Feature,Importance
V9,0.021859618002873504
V1,0.021432322619129307
V26,0.019863749996817393
V22,0.01822209585122836
V11,0.017757318337308092
V6,0.016977845227007737
V12,0.015802977136215923
V16,0.015726890102419677
V2,0.014016130932983373
V15,0.013531697873227388
V19,0.0124276405685122
V25,0.011504427013462881
V14,0.01147315413707406
V18,0.011080322054259795
V4,0.010131125609168401
Amount,0.009519139839176072
V3,0.009369064459397225
V5,0.008879881558819469
V13,0.008710512008045512
V10,0.008227429522300156
V17,0.005967352301661011
V21,0.005433554193616241
V27,0.003946332109088235
V23,0.002808780074599282
V24,0.002557559469792303
V20,0.0022864504298052424
V7,0.002087318335667887
V28,0.0017258753901298052
V8,0.0016354163930276666
