Feature,Importance
V1,0.02868795011965486
V11,0.027363207178730753
V9,0.02261178720050616
V26,0.02092115087872104
V12,0.02081434851086761
V17,0.019571614071842047
V6,0.018455070560568387
V2,0.01678092426634603
V16,0.01591545022441687
V14,0.015534155618809109
V13,0.014958788464573658
V3,0.014590818990811272
V5,0.009164202525331677
Amount,0.008268302992098797
V19,0.008176916738301565
V10,0.006693049999402123
V15,0.0064355892752383514
V22,0.006272990833064096
V4,0.006040397405148612
V7,0.0054958523710780804
V21,0.004115346448340884
V27,0.0037555295836481095
V25,0.003514966022892474
V20,0.003171049613486354
V28,0.002181115262463562
V18,0.001854686810942252
V24,0.0012549436110667056
V8,0.0012496669021466733
V23,0.000979670505966257
