Feature,Importance
V17,133.26147787442648
V14,73.48294562901333
V12,64.57576876893697
V7,57.579213822123876
V10,50.689447540007805
V3,48.05184959477042
V16,43.27212874683204
V8,33.34835990944879
V21,27.865701968108365
V5,21.650961122270044
V18,19.6907450337136
V1,19.464520616300724
V11,15.459004302177032
V27,11.67952207097205
V9,11.256013416860494
V4,9.760602659246908
V23,8.645217123642809
V2,8.508002530781715
V22,4.209030695736463
V19,3.4958836406364546
V6,3.304942770031171
V28,3.17220792915346
V20,3.0795772092886575
V25,2.7323665175714185
V15,1.3430369143005785
V13,1.3160999864062195
Amount,1.0454466448049091
V24,0.820217183745534
V26,0.803480860693684
