Feature,Importance
V21,0.0229504825887616
V8,0.0174133620758567
V1,0.0165582735921674
V17,0.0119841174798622
V10,0.0119361009304554
V3,0.0097433064199243
V9,0.0083407623172995
V7,0.0082226602397916
V23,0.0076049170119887
V14,0.0064741965514656
V18,0.0048994935089439
V2,0.0037948386978499
V27,0.0037421142305262
V22,0.0036151639853336
V4,0.0035416619576267
V28,0.0023238984765256
V12,0.0019012912402445
V6,0.0018186530381818
V11,0.0012655634875535
V25,0.0011960480026154
Amount,0.000773533655014
V13,0.0006201256468898
V16,0.0003457319352264
V19,-2.470217203764946e-05
V5,-0.0001138607041504
V24,-0.000481015153241
V26,-0.00066757559226
V15,-0.0014478913974116
V20,-0.0018230201477571
